Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,symmetric,0.61,0.3203207062195286
75% Corpus,8,symmetric,0.9099999999999999,0.3583767907263914
75% Corpus,8,symmetric,symmetric,0.32667740430866254
75% Corpus,8,asymmetric,0.01,0.35578327903145424
75% Corpus,8,asymmetric,0.31,0.44317322289612315
75% Corpus,8,asymmetric,0.61,0.42466135064012067
75% Corpus,8,asymmetric,0.9099999999999999,0.5072950127198936
75% Corpus,8,asymmetric,symmetric,0.350962529476826
75% Corpus,9,0.01,0.01,0.3503340134253417
75% Corpus,9,0.01,0.31,0.36920313067454813
75% Corpus,9,0.01,0.61,0.353446548592249
75% Corpus,9,0.01,0.9099999999999999,0.3656744493377025
75% Corpus,9,0.01,symmetric,0.35617980492539114
75% Corpus,9,0.31,0.01,0.34741438925588103
75% Corpus,9,0.31,0.31,0.3689504247068862
75% Corpus,9,0.31,0.61,0.366852096225411
75% Corpus,9,0.31,0.9099999999999999,0.35925046085596446
75% Corpus,9,0.31,symmetric,0.36933394066584985
75% Corpus,9,0.61,0.01,0.38063144539372107
75% Corpus,9,0.61,0.31,0.35764057848527714
75% Corpus,9,0.61,0.61,0.37129554805582143
75% Corpus,9,0.61,0.9099999999999999,0.36474720013829387
75% Corpus,9,0.61,symmetric,0.35037137575771754
75% Corpus,9,0.9099999999999999,0.01,0.34329195240774835
75% Corpus,9,0.9099999999999999,0.31,0.3433783888628717
75% Corpus,9,0.9099999999999999,0.61,0.3620817772770747
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.34030028215816194
75% Corpus,9,0.9099999999999999,symmetric,0.34517231446132063
75% Corpus,9,symmetric,0.01,0.33084445587811495
75% Corpus,9,symmetric,0.31,0.35718638974970257
75% Corpus,9,symmetric,0.61,0.37291813562287485
75% Corpus,9,symmetric,0.9099999999999999,0.3697180736424468
75% Corpus,9,symmetric,symmetric,0.3642271522550881
75% Corpus,9,asymmetric,0.01,0.3053061143831577
75% Corpus,9,asymmetric,0.31,0.3181089785494577
75% Corpus,9,asymmetric,0.61,0.30722783291673
75% Corpus,9,asymmetric,0.9099999999999999,0.34189339512221895
75% Corpus,9,asymmetric,symmetric,0.3451648498747183
75% Corpus,10,0.01,0.01,0.3475091934838245
75% Corpus,10,0.01,0.31,0.3226400347749329
75% Corpus,10,0.01,0.61,0.33176117948375167
75% Corpus,10,0.01,0.9099999999999999,0.3221087052451064
75% Corpus,10,0.01,symmetric,0.33279483128629306
75% Corpus,10,0.31,0.01,0.34306255610583947
75% Corpus,10,0.31,0.31,0.36173193696168027
75% Corpus,10,0.31,0.61,0.3396334760790761
75% Corpus,10,0.31,0.9099999999999999,0.3631565201841567
75% Corpus,10,0.31,symmetric,0.3341113082106782
75% Corpus,10,0.61,0.01,0.3195332790098155
75% Corpus,10,0.61,0.31,0.351479177878656
75% Corpus,10,0.61,0.61,0.3419588961770658
75% Corpus,10,0.61,0.9099999999999999,0.33690123818381557
75% Corpus,10,0.61,symmetric,0.3290925003509945
75% Corpus,10,0.9099999999999999,0.01,0.357974565368078
75% Corpus,10,0.9099999999999999,0.31,0.3341994539621736
75% Corpus,10,0.9099999999999999,0.61,0.36624088963544715
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.399844489265232
75% Corpus,10,0.9099999999999999,symmetric,0.3305087443470419
75% Corpus,10,symmetric,0.01,0.33008442343027306
75% Corpus,10,symmetric,0.31,0.32966780566004045
75% Corpus,10,symmetric,0.61,0.33136086712577567
75% Corpus,10,symmetric,0.9099999999999999,0.33603535435535803
75% Corpus,10,symmetric,symmetric,0.31246587015614613
75% Corpus,10,asymmetric,0.01,0.3446519583428661
75% Corpus,10,asymmetric,0.31,0.38142310222483894
75% Corpus,10,asymmetric,0.61,0.4796830954136091
75% Corpus,10,asymmetric,0.9099999999999999,0.37068084535469414
75% Corpus,10,asymmetric,symmetric,0.3470913371550411
100% Corpus,2,0.01,0.01,0.24436921722054736
100% Corpus,2,0.01,0.31,0.24323173597309045
100% Corpus,2,0.01,0.61,0.2784768346760865
100% Corpus,2,0.01,0.9099999999999999,0.2391594291126418
100% Corpus,2,0.01,symmetric,0.24970870160681038
100% Corpus,2,0.31,0.01,0.246911951379145
100% Corpus,2,0.31,0.31,0.2780868125938656
100% Corpus,2,0.31,0.61,0.28999674285318533
100% Corpus,2,0.31,0.9099999999999999,0.3239970475770976
100% Corpus,2,0.31,symmetric,0.29783755453400396
100% Corpus,2,0.61,0.01,0.2490996303243489
100% Corpus,2,0.61,0.31,0.2920509285007983
100% Corpus,2,0.61,0.61,0.2920509285007983
100% Corpus,2,0.61,0.9099999999999999,0.3135810498559635
100% Corpus,2,0.61,symmetric,0.29496385753629906
100% Corpus,2,0.9099999999999999,0.01,0.25952410332719533
100% Corpus,2,0.9099999999999999,0.31,0.3188891034382547
100% Corpus,2,0.9099999999999999,0.61,0.30187300307488363
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.30334452748669133
100% Corpus,2,0.9099999999999999,symmetric,0.3149853106105699
100% Corpus,2,symmetric,0.01,0.296963466557314
100% Corpus,2,symmetric,0.31,0.27428092273266474
100% Corpus,2,symmetric,0.61,0.33169010681486977
100% Corpus,2,symmetric,0.9099999999999999,0.30771208483374224
100% Corpus,2,symmetric,symmetric,0.27656981421277005
100% Corpus,2,asymmetric,0.01,0.2827350419767991
100% Corpus,2,asymmetric,0.31,0.2811257336387276
100% Corpus,2,asymmetric,0.61,0.28801322255203443
100% Corpus,2,asymmetric,0.9099999999999999,0.28127553111088877
100% Corpus,2,asymmetric,symmetric,0.28402820071169343
100% Corpus,3,0.01,0.01,0.3052570517035841
100% Corpus,3,0.01,0.31,0.3018659314589925
100% Corpus,3,0.01,0.61,0.3247287296066276
100% Corpus,3,0.01,0.9099999999999999,0.31494136939944023
100% Corpus,3,0.01,symmetric,0.2999418144022908
100% Corpus,3,0.31,0.01,0.3591641749747147
100% Corpus,3,0.31,0.31,0.31009840912873177
100% Corpus,3,0.31,0.61,0.2978571408315038
100% Corpus,3,0.31,0.9099999999999999,0.27731546438420945
100% Corpus,3,0.31,symmetric,0.3212770991320575
100% Corpus,3,0.61,0.01,0.3553463893206079
100% Corpus,3,0.61,0.31,0.3569079425423885
100% Corpus,3,0.61,0.61,0.295741890000221
100% Corpus,3,0.61,0.9099999999999999,0.31548575514977223
100% Corpus,3,0.61,symmetric,0.3610046067706845
100% Corpus,3,0.9099999999999999,0.01,0.38173835392863475
100% Corpus,3,0.9099999999999999,0.31,0.30960686228822887
100% Corpus,3,0.9099999999999999,0.61,0.30558133921409864
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3074364578243124
100% Corpus,3,0.9099999999999999,symmetric,0.34204560209745655
100% Corpus,3,symmetric,0.01,0.31102479993435167
100% Corpus,3,symmetric,0.31,0.32285052041450296
100% Corpus,3,symmetric,0.61,0.3061519280378825
100% Corpus,3,symmetric,0.9099999999999999,0.2731953472237398
100% Corpus,3,symmetric,symmetric,0.32253848915852845
100% Corpus,3,asymmetric,0.01,0.300521498627974
100% Corpus,3,asymmetric,0.31,0.29167893143754725
100% Corpus,3,asymmetric,0.61,0.3016241313662678
100% Corpus,3,asymmetric,0.9099999999999999,0.30477563576700034
100% Corpus,3,asymmetric,symmetric,0.31415002042388157
100% Corpus,4,0.01,0.01,0.3228371377615293
100% Corpus,4,0.01,0.31,0.32562103742153337
100% Corpus,4,0.01,0.61,0.32557316009061493
100% Corpus,4,0.01,0.9099999999999999,0.32695351341804607
100% Corpus,4,0.01,symmetric,0.31590566741669834
100% Corpus,4,0.31,0.01,0.32791982977777323
100% Corpus,4,0.31,0.31,0.37355315910763187
100% Corpus,4,0.31,0.61,0.3472095662654527
100% Corpus,4,0.31,0.9099999999999999,0.3247462746993961
100% Corpus,4,0.31,symmetric,0.3315988591766821
100% Corpus,4,0.61,0.01,0.30913414743739526
100% Corpus,4,0.61,0.31,0.33726240421017084
100% Corpus,4,0.61,0.61,0.34024025341654646
100% Corpus,4,0.61,0.9099999999999999,0.3687183366556681
100% Corpus,4,0.61,symmetric,0.34272552287521774
100% Corpus,4,0.9099999999999999,0.01,0.33147333451552313
100% Corpus,4,0.9099999999999999,0.31,0.34810774039572634
100% Corpus,4,0.9099999999999999,0.61,0.35793493859137815
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.35469945420729815
100% Corpus,4,0.9099999999999999,symmetric,0.34966917755393334
100% Corpus,4,symmetric,0.01,0.335452251777997
100% Corpus,4,symmetric,0.31,0.3439907702852026
100% Corpus,4,symmetric,0.61,0.3101191714834645
